user_id,event_type,product_id,product_category,product_price,quantity,timestamp,session_id,device,country,total_amount
qmendez,remove_from_cart,Shirt_3,Clothing,667.08,2,2026-01-27T10:29:12.499008,1dfad5f4-95c6-4969-b04c-9c365d450540,mobile,LI,322.08
princelisa,remove_from_cart,Phone_6,Electronics,695.12,1,2026-01-27T10:29:12.509008,8b9c1c33-b584-4176-b946-ea6673c5a4a8,desktop,KR,75.53
jensenjessica,purchase,Laptop_4,Electronics,723.77,2,2026-01-27T10:29:12.519008,cae7ee36-7f33-46a0-ae9f-fdb020bf2f52,desktop,GH,124.68
trevor02,view,Racket_6,Sports,286.12,4,2026-01-27T10:29:12.529008,c8661dfd-517e-4f48-af28-e0b625128d24,tablet,KM,450.92
joshuajohns,wishlist,Lamp_7,Home,873.3,1,2026-01-27T10:29:12.539008,ef816d08-fa71-4438-a196-ced156267fa8,desktop,BD,81.63
princelisa,remove_from_cart,Shoe_6,Sports,251.63,5,2026-01-27T10:29:12.549008,785db745-4924-4970-8544-1765552e48ee,mobile,MX,42.75
robertthompson,add_to_cart,Racket_7,Sports,827.08,4,2026-01-27T10:29:12.559008,030b2fce-d6d3-4ab1-9cb9-6d0a6af9bd39,desktop,SO,81.21
joshuamccoy,view,Shirt_12,Clothing,861.41,3,2026-01-27T10:29:12.569008,9e611c26-ac6b-4fc7-95ec-043f515ca0c2,desktop,MV,244.9
bentonbenjamin,purchase,Pants_2,Clothing,273.63,1,2026-01-27T10:29:12.579008,30f923bc-e15b-40b2-95e2-6cba682fca08,desktop,VU,49.58
trevor02,remove_from_cart,Pants_13,Clothing,948.35,4,2026-01-27T10:29:12.589008,9e0664cd-9e98-4bf8-b3e9-ff79d3d910fd,tablet,CM,240.56
david48,remove_from_cart,Pants_9,Clothing,824.24,5,2026-01-27T10:29:12.599008,d41739ce-a0b4-43cc-8613-24df0caa527b,desktop,MU,280.22
benjamingiles,add_to_cart,Lamp_7,Home,412.0,5,2026-01-27T10:29:12.609008,f100f212-36d3-4017-846c-4e2f9e2056e4,tablet,AF,255.17
kimberly31,view,Pants_3,Clothing,305.62,3,2026-01-27T10:29:12.619008,aa2208ea-9f77-496e-8306-6c67d66d1210,tablet,US,434.76
jensenjessica,remove_from_cart,Shirt_9,Clothing,647.2,4,2026-01-27T10:29:12.629008,d87977ed-5104-470c-a4e9-67ad650c56e6,tablet,LB,266.22
rdavis,purchase,Shoe_2,Sports,450.8,3,2026-01-27T10:29:12.639008,9c0a4ec9-5c8f-4bb2-b1ba-faf61527784d,tablet,TV,341.74
kimberly31,view,Racket_6,Sports,708.65,2,2026-01-27T10:29:12.649008,1570b773-616e-4b78-bbdf-08daf3b19dd7,mobile,ES,41.01
caseyjulie,purchase,Shoe_11,Sports,929.68,2,2026-01-27T10:29:12.659008,05f87cd5-1ddc-4712-8028-08c55142d606,desktop,VC,331.58
david48,add_to_cart,Phone_9,Electronics,387.33,4,2026-01-27T10:29:12.669008,414fc181-fa78-44b0-b653-1ed55029c38f,mobile,TR,196.22
kathykelly,purchase,Phone_8,Electronics,642.23,5,2026-01-27T10:29:12.679008,70f5ad13-3d76-4afa-8760-b7a6ed6521e8,mobile,DK,408.83
asanchez,view,Phone_1,Electronics,169.72,5,2026-01-27T10:29:12.689008,4b690b6d-3a68-4402-8eb4-1112ff6dd269,mobile,IL,205.07
marshalljames,purchase,Lamp_3,Home,422.8,2,2026-01-27T10:29:12.699008,845b51fd-62d8-4bf6-ad66-6d55aa395d21,desktop,KN,87.22
brownnathan,remove_from_cart,Phone_9,Electronics,756.66,3,2026-01-27T10:29:12.709008,188faf81-7629-4f83-b1ea-220344b474a6,desktop,SY,324.32
joshuajohns,remove_from_cart,Lamp_5,Home,440.46,2,2026-01-27T10:29:12.719008,9efa223c-7f52-43eb-bd54-b55b5b653d14,tablet,BD,173.97
pcampbell,add_to_cart,Sofa_6,Home,508.61,3,2026-01-27T10:29:12.729008,97b51f60-34ad-4a75-9c1f-6c2192400c7c,mobile,AF,291.67
jonesdaniel,remove_from_cart,Laptop_4,Electronics,177.97,1,2026-01-27T10:29:12.739008,4496f265-a06d-47b0-a879-6226dc635e03,tablet,KH,131.24
izimmerman,wishlist,Sofa_2,Home,275.48,3,2026-01-27T10:29:12.749008,6dac15f0-bea8-44f8-be2b-b3b9f6bbe378,mobile,AG,227.36
gomezcharles,purchase,Pants_10,Clothing,132.48,3,2026-01-27T10:29:12.759008,c51dad42-971d-4492-9758-d42e81f0b5ad,desktop,BO,107.26
james92,view,Laptop_4,Electronics,575.55,1,2026-01-27T10:29:12.769008,a0618d53-25d6-494c-96e5-ed71fb4644c6,mobile,BE,52.1
flowersmaureen,remove_from_cart,Novel_3,Books,144.28,3,2026-01-27T10:29:12.779008,43702604-2f63-4605-b4a6-349e9d1d9192,mobile,KN,82.78
pcampbell,view,Novel_13,Books,585.47,4,2026-01-27T10:29:12.789008,75a2dc9f-086c-437d-9986-a4d2ce4757bb,tablet,BY,27.7
gomezcharles,wishlist,Novel_1,Books,707.79,2,2026-01-27T10:29:12.799008,70792e6d-360a-4808-96c0-1449050dedff,desktop,BI,188.23
jonesdaniel,add_to_cart,Novel_3,Books,16.68,2,2026-01-27T10:29:12.809008,2e10595e-a1d2-4b8a-a170-1419519d65c7,mobile,LY,36.25
robertthompson,remove_from_cart,Novel_8,Books,534.47,5,2026-01-27T10:29:12.819008,61d77f57-2225-4a3a-9abc-4d3f1bd5d75c,desktop,RS,234.83
heatherwade,view,Sofa_6,Home,670.86,4,2026-01-27T10:29:12.829008,3dce8b42-29c1-42dd-8b54-41f15cc3ed1d,desktop,IQ,409.45
fergusondavid,add_to_cart,Lamp_6,Home,832.18,3,2026-01-27T10:29:12.839008,369ad443-09f8-4ef0-a8c1-351485ceed94,tablet,KM,85.87
brownnathan,remove_from_cart,Shirt_14,Clothing,137.11,3,2026-01-27T10:29:12.849008,6fe9d983-6845-48a8-ba3d-873b104d036d,desktop,MM,263.01
princelisa,purchase,Laptop_6,Electronics,471.0,2,2026-01-27T10:29:12.859008,ac227957-4670-49c2-b54b-0afb3a1513b2,mobile,DE,455.4
rileybreanna,view,Shoe_3,Sports,550.03,4,2026-01-27T10:29:12.869008,24a1bff5-50e0-4a57-88bf-8208e6c003b0,mobile,GE,260.93
marksamber,wishlist,Laptop_6,Electronics,963.56,2,2026-01-27T10:29:12.879008,22e531ee-8b66-4949-8e91-182a2cbd9d92,desktop,RW,12.68
lynn11,view,Lamp_1,Home,611.08,1,2026-01-27T10:29:12.889008,8c3cef37-3913-444e-879a-a6db52341c9a,mobile,GT,327.09
princelisa,add_to_cart,Novel_3,Books,125.1,5,2026-01-27T10:29:12.899008,daee162a-5303-446e-abfb-a5253c73f4bf,tablet,IR,355.32
rdavis,remove_from_cart,Lamp_0,Home,824.78,4,2026-01-27T10:29:12.909008,02450923-c55b-4b54-9bae-8bc19baeba19,desktop,MK,46.55
matthewsmatthew,purchase,Laptop_3,Electronics,748.31,2,2026-01-27T10:29:12.919008,8627f815-adf4-4064-854b-8ee9b0804316,tablet,WS,443.46
gomezcharles,remove_from_cart,Sofa_7,Home,76.19,3,2026-01-27T10:29:12.929008,88077535-d964-48a8-a6f1-1b9544c50227,tablet,BY,413.25
kimberly31,add_to_cart,Novel_0,Books,482.06,3,2026-01-27T10:29:12.939008,33050216-a42e-467d-8f70-be7c05891460,tablet,BD,39.61
izimmerman,add_to_cart,Laptop_4,Electronics,425.92,1,2026-01-27T10:29:12.949008,2560a6a8-846b-46d6-9664-7f08f0bf9103,desktop,IN,279.2
brownnathan,add_to_cart,Laptop_5,Electronics,646.16,2,2026-01-27T10:29:12.959008,19a9e913-da8d-4a39-8cb3-d2cb6e2fba35,tablet,KW,306.99
lopezrobin,add_to_cart,Shirt_1,Clothing,711.84,5,2026-01-27T10:29:12.969008,b3b2f5f5-a3fb-4ea0-82eb-2b17a62214b7,desktop,IN,188.07
joshuathompson,purchase,Pants_5,Clothing,578.75,2,2026-01-27T10:29:12.979008,75aa87d8-60a5-4116-bf8d-2d1fc5f78f8b,tablet,IR,334.47
davidgreen,remove_from_cart,Laptop_2,Electronics,164.53,1,2026-01-27T10:29:12.989008,42564c5b-94d4-4851-aab6-adb356c3d1c5,desktop,ES,368.4
marksamber,remove_from_cart,Shirt_5,Clothing,191.29,4,2026-01-27T10:29:12.999008,49f0ba64-37a2-4f86-8b25-3c10d90f62a5,tablet,GW,27.26
lopezrobin,remove_from_cart,Pants_10,Clothing,274.81,4,2026-01-27T10:29:13.009008,bd280ed1-6f73-496f-829b-b5fbd5432210,desktop,BB,426.56
rileybreanna,wishlist,Shoe_9,Sports,423.87,2,2026-01-27T10:29:13.019008,41c77b32-8aec-4b4e-a5c0-3111982f8630,mobile,GN,137.76
lynn11,remove_from_cart,Shirt_6,Clothing,732.75,5,2026-01-27T10:29:13.029008,46d7eeac-e576-43d6-8674-4be80e691181,tablet,IS,41.65
davidgreen,remove_from_cart,Novel_17,Books,595.04,1,2026-01-27T10:29:13.039008,f7d9133d-e9fc-441d-8fd2-aefccaedbf11,mobile,GW,253.79
emclaughlin,purchase,Novel_3,Books,912.82,5,2026-01-27T10:29:13.049008,ca5840fa-c11a-46ea-8e88-ce2a66cd5762,tablet,VC,487.79
dgates,remove_from_cart,Novel_0,Books,58.14,3,2026-01-27T10:29:13.059008,8cccb3a1-b04c-44f6-b702-25660d434933,desktop,YE,93.32
eburns,remove_from_cart,Racket_7,Sports,78.43,1,2026-01-27T10:29:13.069008,ec52dc50-bd82-479a-9fc1-e58fc2c21b82,mobile,AU,406.84
